Dummy,ClimateID, WeatherID,jday,date,Hour,Srad,wind,RH,rain,tmax,tmin,temperature,CO2
Del,Del,Del,104,4/14/2006,4,0,,100,0,,,9.08,
Del,Del,Del,104,4/14/2006,5,0.009,,101,0,,,8.33,
Del,Del,Del,104,4/14/2006,6,0.205,,101,0,,,9.53,
Del,Del,Del,104,4/14/2006,7,0.445,,99,0,,,12.88,
Del,Del,Del,104,4/14/2006,8,0.703,,93,0,,,15.26,
Del,Del,Del,104,4/14/2006,9,0.756,,85,0,,,17.3,
Del,Del,Del,104,4/14/2006,10,0.742,,79,0,,,18.6,
Del,Del,Del,104,4/14/2006,11,0.693,,73,0,,,19.72,
Del,Del,Del,104,4/14/2006,12,1.143,,63,0,,,21.03,
Del,Del,Del,104,4/14/2006,13,0.956,,54,0,,,21.75,
Del,Del,Del,104,4/14/2006,14,0.735,,58,0,,,20.88,
Del,Del,Del,104,4/14/2006,15,1.387,,53,0,,,21.88,
Del,Del,Del,104,4/14/2006,16,1.172,,42,0,,,23.27,
Del,Del,Del,104,4/14/2006,17,0.669,,44,0,,,22.65,
Del,Del,Del,104,4/14/2006,18,0.07,,54,0,,,20.54,
Del,Del,Del,104,4/14/2006,19,0,,62,0,,,19.12,
Del,Del,Del,104,4/14/2006,20,0,,66,0,,,18.12,
Del,Del,Del,104,4/14/2006,21,0,,69,0,,,17.92,
Del,Del,Del,104,4/14/2006,22,0,,71,0,,,17.99,
Del,Del,Del,104,4/14/2006,23,0,,78,0,,,17.58,
Del,Del,Del,105,4/15/2006,0,0,,82,0,,,16.83,
Del,Del,Del,105,4/15/2006,1,0,,85,0,,,16.61,
Del,Del,Del,105,4/15/2006,2,0,,88,0,,,16.2,
Del,Del,Del,105,4/15/2006,3,0,,89,0,,,16.26,
Del,Del,Del,105,4/15/2006,4,0,,89,0,,,16.2,
Del,Del,Del,105,4/15/2006,5,0,,86,0,,,16.35,
Del,Del,Del,105,4/15/2006,6,0.027,,85,0,,,16.39,
Del,Del,Del,105,4/15/2006,7,0.271,,84,0,,,16.86,
Del,Del,Del,105,4/15/2006,8,0.639,,82,0,,,17.73,
Del,Del,Del,105,4/15/2006,9,2.176,,67,0,,,20.79,
Del,Del,Del,105,4/15/2006,10,2.322,,51,0,,,23.83,
Del,Del,Del,105,4/15/2006,11,2.849,,44,0,,,24.77,
Del,Del,Del,105,4/15/2006,12,2.97,,43,0,,,25.63,
Del,Del,Del,105,4/15/2006,13,2.826,,41,0,,,26.17,
Del,Del,Del,105,4/15/2006,14,2.56,,40,0,,,26.8,
Del,Del,Del,105,4/15/2006,15,2.062,,38,0,,,27.44,
Del,Del,Del,105,4/15/2006,16,1.311,,38,0,,,27.42,
Del,Del,Del,105,4/15/2006,17,0.403,,39,0,,,26.71,
Del,Del,Del,105,4/15/2006,18,0.097,,42,0,,,25.21,
Del,Del,Del,105,4/15/2006,19,0,,52,0,,,22.73,
Del,Del,Del,105,4/15/2006,20,0,,70,0,,,19.53,
Del,Del,Del,105,4/15/2006,21,0,,79,0,,,18.5,
Del,Del,Del,105,4/15/2006,22,0,,77,0,,,18.08,
Del,Del,Del,105,4/15/2006,23,0,,70,0,,,17.79,
Del,Del,Del,106,4/16/2006,0,0,,60,0,,,15.66,
Del,Del,Del,106,4/16/2006,1,0,,57,0,,,13.86,
Del,Del,Del,106,4/16/2006,2,0,,51,0,,,13.61,
Del,Del,Del,106,4/16/2006,3,0,,44,0,,,13.31,
Del,Del,Del,106,4/16/2006,4,0,,44,0,,,12.4,
Del,Del,Del,106,4/16/2006,5,0.02,,47,0,,,11.57,
Del,Del,Del,106,4/16/2006,6,0.439,,50,0,,,12.59,
Del,Del,Del,106,4/16/2006,7,1.138,,49,0,,,15.27,
Del,Del,Del,106,4/16/2006,8,1.661,,48,0,,,16.21,
Del,Del,Del,106,4/16/2006,9,2.23,,43,0,,,17.67,
Del,Del,Del,106,4/16/2006,10,2.758,,38,0,,,19.12,
Del,Del,Del,106,4/16/2006,11,2.951,,33,0,,,20.03,
Del,Del,Del,106,4/16/2006,12,2.433,,30,0,,,20.53,
Del,Del,Del,106,4/16/2006,13,2.309,,28,0,,,20.6,
Del,Del,Del,106,4/16/2006,14,1.438,,27,0,,,20.4,
Del,Del,Del,106,4/16/2006,15,0.822,,28,0,,,20.07,
Del,Del,Del,106,4/16/2006,16,1.003,,29,0,,,20.19,
Del,Del,Del,106,4/16/2006,17,0.693,,34,0,,,19.58,
Del,Del,Del,106,4/16/2006,18,0.072,,41,0,,,17.56,
Del,Del,Del,106,4/16/2006,19,0,,50,0,,,15.8,
Del,Del,Del,106,4/16/2006,20,0,,53,0,,,15.26,
Del,Del,Del,106,4/16/2006,21,0,,60,0,,,15.01,
Del,Del,Del,106,4/16/2006,22,0,,72,0,,,13.8,
Del,Del,Del,106,4/16/2006,23,0,,79,0,,,11.62,
Del,Del,Del,107,4/17/2006,0,0,,86,5,,,11.4,
Del,Del,Del,107,4/17/2006,1,0,,85,3.128,,,12.21,
Del,Del,Del,107,4/17/2006,2,0,,75,0,,,12.88,
Del,Del,Del,107,4/17/2006,3,0,,83,0,,,11.82,
Del,Del,Del,107,4/17/2006,4,0,,68,0,,,11.56,
Del,Del,Del,107,4/17/2006,5,0.007,,67,0,,,11.03,
Del,Del,Del,107,4/17/2006,6,0.073,,66,0,,,10.95,
Del,Del,Del,107,4/17/2006,7,0.104,,68,0,,,10.77,
Del,Del,Del,107,4/17/2006,8,0.187,,78,0,,,9.84,
Del,Del,Del,107,4/17/2006,9,0.333,,86,0,,,9.28,
Del,Del,Del,107,4/17/2006,10,0.485,,82,0,,,9.61,
Del,Del,Del,107,4/17/2006,11,0.782,,80,0,,,9.92,
Del,Del,Del,107,4/17/2006,12,0.724,,79,0,,,9.79,
Del,Del,Del,107,4/17/2006,13,0.71,,72,0,,,10.33,
Del,Del,Del,107,4/17/2006,14,0.643,,70,0,,,10.54,
Del,Del,Del,107,4/17/2006,15,1.122,,65,0,,,11.41,
Del,Del,Del,107,4/17/2006,16,1.393,,61,0,,,12.42,
Del,Del,Del,107,4/17/2006,17,0.764,,60,0,,,12.49,
Del,Del,Del,107,4/17/2006,18,0.138,,65,0,,,11.1,
Del,Del,Del,107,4/17/2006,19,0,,80,0,,,8.43,
Del,Del,Del,107,4/17/2006,20,0,,94,0,,,6.01,
Del,Del,Del,107,4/17/2006,21,0,,98,0,,,4.31,
Del,Del,Del,107,4/17/2006,22,0,,99,0,,,4.04,
Del,Del,Del,107,4/17/2006,23,0,,100,0,,,3.52,
Del,Del,Del,108,4/18/2006,0,0,,101,0,,,4.36,
Del,Del,Del,108,4/18/2006,1,0,,100,0,,,5.8,
Del,Del,Del,108,4/18/2006,2,0,,101,0,,,4.23,
Del,Del,Del,108,4/18/2006,3,0,,102,0,,,3.69,
Del,Del,Del,108,4/18/2006,4,0,,102,0,,,4.01,
Del,Del,Del,108,4/18/2006,5,0.013,,103,0,,,4.6,
Del,Del,Del,108,4/18/2006,6,0.404,,103,0,,,7.19,
Del,Del,Del,108,4/18/2006,7,1.08,,91,0,,,9.78,
Del,Del,Del,108,4/18/2006,8,1.666,,70,0,,,11.07,
Del,Del,Del,108,4/18/2006,9,2.34,,61,0,,,12.53,
Del,Del,Del,108,4/18/2006,10,2.76,,55,0,,,13.49,
Del,Del,Del,108,4/18/2006,11,3.016,,51,0,,,14.61,
Del,Del,Del,108,4/18/2006,12,3.079,,47,0,,,16.1,
Del,Del,Del,108,4/18/2006,13,2.919,,44,0,,,17.44,
Del,Del,Del,108,4/18/2006,14,2.62,,41,0,,,18.89,
Del,Del,Del,108,4/18/2006,15,2.003,,40,0,,,19.47,
Del,Del,Del,108,4/18/2006,16,1.377,,38,0,,,19.47,
Del,Del,Del,108,4/18/2006,17,0.789,,38,0,,,19.23,
Del,Del,Del,108,4/18/2006,18,0.158,,44,0,,,17.08,
Del,Del,Del,108,4/18/2006,19,0,,66,0,,,12.65,
Del,Del,Del,108,4/18/2006,20,0,,65,0,,,12.41,
Del,Del,Del,108,4/18/2006,21,0,,69,0,,,12.02,
Del,Del,Del,108,4/18/2006,22,0,,73,0,,,11.39,
Del,Del,Del,108,4/18/2006,23,0,,76,0,,,11.61,
Del,Del,Del,109,4/19/2006,0,0,,84,0,,,11.18,
Del,Del,Del,109,4/19/2006,1,0,,91,0,,,9.62,
Del,Del,Del,109,4/19/2006,2,0,,92,0,,,9.03,
Del,Del,Del,109,4/19/2006,3,0,,93,0,,,8.55,
Del,Del,Del,109,4/19/2006,4,0,,93,0,,,8.07,
Del,Del,Del,109,4/19/2006,5,0.025,,94,0,,,7.18,
Del,Del,Del,109,4/19/2006,6,0.449,,89,0,,,9.41,
Del,Del,Del,109,4/19/2006,7,1.07,,65,0,,,14.34,
Del,Del,Del,109,4/19/2006,8,1.644,,53,0,,,16.13,
Del,Del,Del,109,4/19/2006,9,2.344,,43,0,,,17.75,
Del,Del,Del,109,4/19/2006,10,2.803,,40,0,,,19.54,
Del,Del,Del,109,4/19/2006,11,3.019,,35,0,,,20.62,
Del,Del,Del,109,4/19/2006,12,3.09,,30,0,,,21.31,
Del,Del,Del,109,4/19/2006,13,2.947,,27,0,,,21.75,
Del,Del,Del,109,4/19/2006,14,2.64,,27,0,,,22.15,
Del,Del,Del,109,4/19/2006,15,2.069,,25,0,,,22.76,
Del,Del,Del,109,4/19/2006,16,1.417,,23,0,,,22.93,
Del,Del,Del,109,4/19/2006,17,0.804,,23,0,,,22.7,
