Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
ETBA1401	2014-03-01	60	15	15	.	.	.	.
ETBA1401	2014-04-03	93	15	15	.	.	.	.
ETBA1401	2014-05-08	128	15	15	0.012	2	.	.
ETBA1401	2014-05-31	151	15	15	0.069	10	.	.
ETBA1401	2014-06-15	166	15	15	0.124	19	.	.
ETBA1401	2014-06-29	180	15	15	0.167	25	.	.
ETBA1401	2014-07-13	194	15	15	0.194	29	.	.
ETBA1401	2014-07-27	208	15	15	0.184	28	.	.
ETBA1401	2014-08-10	222	15	15	0.198	30	.	.
ETBA1401	2014-08-17	229	15	15	0.204	31	.	.
ETBA1401	2014-08-31	243	15	15	0.292	44	.	.
ETBA1401	2014-01-26	26	25	10	0.091	9	.	.
ETBA1401	2014-03-01	60	25	10	0.071	7	.	.
ETBA1401	2014-04-03	93	25	10	0.053	5	.	.
ETBA1401	2014-05-08	128	25	10	0.078	8	.	.
ETBA1401	2014-05-31	151	25	10	0.164	16	.	.
ETBA1401	2014-06-15	166	25	10	0.298	30	.	.
ETBA1401	2014-06-29	180	25	10	0.282	28	.	.
ETBA1401	2014-07-13	194	25	10	0.286	29	.	.
ETBA1401	2014-07-27	208	25	10	0.321	32	.	.
ETBA1401	2014-08-10	222	25	10	0.301	30	.	.
ETBA1401	2014-08-17	229	25	10	0.321	32	.	.
ETBA1401	2014-08-31	243	25	10	0.406	41	.	.
ETBA1401	2014-01-26	26	35	10	0.166	17	.	.
ETBA1401	2014-03-01	60	35	10	0.123	12	.	.
ETBA1401	2014-04-03	93	35	10	0.096	10	.	.
ETBA1401	2014-05-08	128	35	10	0.142	14	.	.
ETBA1401	2014-05-31	151	35	10	0.228	23	.	.
ETBA1401	2014-06-15	166	35	10	0.291	29	.	.
ETBA1401	2014-06-29	180	35	10	0.364	36	.	.
ETBA1401	2014-07-13	194	35	10	0.367	37	.	.
ETBA1401	2014-07-27	208	35	10	0.386	39	.	.
ETBA1401	2014-08-10	222	35	10	0.364	36	.	.
ETBA1401	2014-08-17	229	35	10	0.366	37	.	.
ETBA1401	2014-08-31	243	35	10	0.443	44	.	.
ETBA1401	2014-01-26	26	50	15	0.328	49	.	.
ETBA1401	2014-03-01	60	50	15	0.223	33	.	.
ETBA1401	2014-04-03	93	50	15	0.183	27	.	.
ETBA1401	2014-05-08	128	50	15	0.241	36	.	.
ETBA1401	2014-05-31	151	50	15	0.327	49	.	.
ETBA1401	2014-06-15	166	50	15	0.381	57	.	.
ETBA1401	2014-06-29	180	50	15	0.427	64	.	.
ETBA1401	2014-07-13	194	50	15	0.442	66	.	.
ETBA1401	2014-07-27	208	50	15	0.467	70	.	.
ETBA1401	2014-08-10	222	50	15	0.488	73	.	.
ETBA1401	2014-08-17	229	50	15	0.493	74	.	.
ETBA1401	2014-08-31	243	50	15	0.500	75	.	.
ETBA1401	2014-01-26	26	80	30	0.398	119	.	.
ETBA1401	2014-03-01	60	80	30	0.253	76	.	.
ETBA1401	2014-04-03	93	80	30	0.217	65	.	.
ETBA1401	2014-05-08	128	80	30	0.278	83	.	.
ETBA1401	2014-05-31	151	80	30	0.391	117	.	.
ETBA1401	2014-06-15	166	80	30	0.475	143	.	.
ETBA1401	2014-06-29	180	80	30	0.473	142	.	.
ETBA1401	2014-07-13	194	80	30	0.425	128	.	.
ETBA1401	2014-07-27	208	80	30	0.373	112	.	.
ETBA1401	2014-08-10	222	80	30	0.327	98	.	.
ETBA1401	2014-08-17	229	80	30	0.337	101	.	.
ETBA1401	2014-08-31	243	80	30	0.520	156	.	.
ETBA1401	2014-01-26	26	100	20	0.269	54	.	.
ETBA1401	2014-03-01	60	100	20	0.212	42	.	.
ETBA1401	2014-04-03	93	100	20	0.208	42	.	.
ETBA1401	2014-05-08	128	100	20	0.253	51	.	.
ETBA1401	2014-05-31	151	100	20	0.274	55	.	.
ETBA1401	2014-06-15	166	100	20	0.225	45	.	.
ETBA1401	2014-06-29	180	100	20	0.257	51	.	.
ETBA1401	2014-07-13	194	100	20	.	.	.	.
ETBA1401	2014-07-27	208	100	20	.	.	.	.
ETBA1401	2014-08-10	222	100	20	.	.	.	.
ETBA1401	2014-08-17	229	100	20	.	.	.	.
ETBA1401	2014-08-31	243	100	20	0.043	9	.	.
ETBA1301	2013-06-05	156	15	15	0.128	19	.	.
ETBA1301	2013-06-22	173	15	15	0.148	22	.	.
ETBA1301	2013-07-14	195	15	15	0.198	30	.	.
ETBA1301	2013-06-30	181	15	15	0.145	22	.	.
ETBA1301	2013-07-27	208	15	15	0.251	38	.	.
ETBA1301	2013-08-11	223	15	15	0.287	43	.	.
