Experiment.name	Date	Day.of.Year	Soil.layer.base.depth	Soil.layer.thikness	SoilW.layer.cm3.cm3	SoilW.layer.mm	SoilN.layer.ppm	SoilN.layer.kg.ha
MANT1001	2010-08-19	231	10	10	0.226	23	na	na
MANT1001	2010-08-30	242	10	10	0.216	22	na	na
MANT1001	2010-09-08	251	10	10	0.221	22	na	na
MANT1001	2010-06-01	152	20	10	0.231	23	na	na
MANT1001	2010-06-11	162	20	10	0.211	21	na	na
MANT1001	2010-06-20	171	20	10	0.173	17	na	na
MANT1001	2010-06-30	181	20	10	0.197	20	na	na
MANT1001	2010-07-10	191	20	10	0.148	15	na	na
MANT1001	2010-07-20	201	20	10	0.175	18	na	na
MANT1001	2010-07-30	211	20	10	0.235	24	na	na
MANT1001	2010-08-09	221	20	10	0.241	24	na	na
MANT1001	2010-08-19	231	20	10	0.226	23	na	na
MANT1001	2010-08-30	242	20	10	0.216	22	na	na
MANT1001	2010-09-08	251	20	10	0.221	22	na	na
MANT1001	2010-06-01	152	30	10	0.241	24	na	na
MANT1001	2010-06-11	162	30	10	0.220	22	na	na
MANT1001	2010-06-20	171	30	10	0.193	19	na	na
MANT1001	2010-06-30	181	30	10	0.216	22	na	na
MANT1001	2010-07-10	191	30	10	0.175	18	na	na
MANT1001	2010-07-20	201	30	10	0.190	19	na	na
MANT1001	2010-07-30	211	30	10	0.241	24	na	na
MANT1001	2010-08-09	221	30	10	0.249	25	na	na
MANT1001	2010-08-19	231	30	10	0.240	24	na	na
MANT1001	2010-08-30	242	30	10	0.232	23	na	na
MANT1001	2010-09-08	251	30	10	0.233	23	na	na
MANT1001	2010-06-01	152	40	10	0.204	20	na	na
MANT1001	2010-06-11	162	40	10	0.206	21	na	na
MANT1001	2010-06-20	171	40	10	0.192	19	na	na
MANT1001	2010-06-30	181	40	10	0.206	21	na	na
MANT1001	2010-07-10	191	40	10	0.185	19	na	na
MANT1001	2010-07-20	201	40	10	0.195	20	na	na
MANT1001	2010-07-30	211	40	10	0.243	24	na	na
MANT1001	2010-08-09	221	40	10	0.248	25	na	na
MANT1001	2010-08-19	231	40	10	0.242	24	na	na
MANT1001	2010-08-30	242	40	10	0.231	23	na	na
MANT1001	2010-09-08	251	40	10	0.236	24	na	na
MANT1001	2010-06-01	152	60	20	0.160	32	na	na
MANT1001	2010-06-11	162	60	20	0.167	33	na	na
